,total_of_www,longest_word_path,phish_hints,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,domain_age,web_traffic,google_index,page_rank
0,1,5,0,143,0.93006993,0.06993007,6678,78526,0,5
1,0,0,2,0,0.0,0.0,65,0,1,0
2,1,9,0,3,1.0,0.0,1707,0,1,0
3,1,0,0,404,0.962871287,0.037128713,1331,0,0,0
4,1,0,0,57,0.684210526,0.3157894739999999,1662,312044,0,4
5,0,17,0,51,1.0,0.0,3993,5707171,1,0
6,1,9,0,0,0.0,0.0,7330,154708,0,4
7,1,4,0,115,0.939130435,0.060869565,5046,379,0,5
8,1,0,0,99,0.363636364,0.636363636,3505,0,0,2
9,0,0,0,14,0.071428571,0.928571429,7295,0,1,5
10,1,24,0,39,0.564102564,0.435897436,5640,2,1,10
11,0,46,0,26,0.115384615,0.884615385,8019,0,1,4
12,1,4,0,164,0.640243902,0.3597560979999999,8147,12601,0,6
13,1,9,0,71,0.915492958,0.0845070419999999,5826,34738,0,5
14,1,7,0,101,0.485148515,0.514851485,5132,1310,0,7
15,0,15,1,72,0.277777778,0.7222222220000001,5,0,1,0
16,1,0,0,49,0.7142857140000001,0.285714286,5001,0,0,3
17,0,12,0,0,0.0,0.0,199,0,0,0
18,1,0,0,308,0.896103896,0.103896104,6140,1177815,0,3
19,1,0,0,23,0.3913043479999999,0.608695652,3494,3399200,0,3
20,0,0,0,24,0.75,0.25,5161,0,0,8
21,1,0,0,178,0.719101124,0.280898876,4011,0,0,2
22,1,7,1,16,0.875,0.125,3480,0,1,0
23,0,0,0,28,0.25,0.75,7202,461958,1,2
24,1,22,1,0,0.0,0.0,4843,9602,0,5
25,1,0,0,17,0.294117647,0.705882353,7391,8675232,0,3
26,1,7,0,13,0.384615385,0.615384615,5005,0,1,3
27,0,0,0,57,0.3859649120000001,0.614035088,7299,33345,0,5
28,1,11,0,14,0.5,0.5,3029,2349295,0,4
29,0,12,0,267,0.958801498,0.041198502,12471,5469,0,5
30,0,5,0,21,0.19047619,0.80952381,5614,0,1,5
31,0,0,0,4,0.75,0.25,5613,7198650,1,5
32,1,8,0,62,0.629032258,0.370967742,3772,35245,0,4
33,0,0,0,103,0.932038835,0.067961165,6663,1428403,1,0
34,1,8,1,0,0.0,0.0,2926,0,1,1
35,0,23,0,42,0.904761905,0.095238095,134,0,1,2
36,0,0,0,768,0.9296875,0.0703125,7298,236183,0,5
37,1,12,0,261,0.8773946359999999,0.122605364,7371,1303460,1,5
38,0,40,0,23,0.869565217,0.130434783,1963,5967691,0,3
39,0,0,0,0,0.0,0.0,5626,0,1,5
40,1,2,0,0,0.0,0.0,3593,8552690,1,0
41,1,9,0,1,1.0,0.0,2403,790268,0,3
42,0,8,0,1,1.0,0.0,72,0,1,0
43,1,9,0,0,0.0,0.0,3452,3893420,1,2
44,0,17,0,51,1.0,0.0,3993,5707171,1,0
45,1,12,0,249,0.8072289159999999,0.1927710839999999,8206,15425,1,5
46,0,7,0,73,0.835616438,0.1643835619999999,2247,13779,0,5
47,1,0,0,37,0.432432432,0.567567568,2031,962441,0,4
48,0,8,0,227,0.911894273,0.088105727,7133,12,0,7
49,0,17,0,19,0.736842105,0.263157895,8018,0,1,4
50,0,11,0,266,0.7518796990000001,0.248120301,8823,24609,0,4
51,0,5,1,0,0.0,0.0,4633,8237707,1,0
52,1,12,0,0,0.0,0.0,2100,0,1,0
53,0,34,0,25,0.44,0.56,8346,1,1,10
54,0,11,0,80,0.375,0.625,4567,372555,0,3
55,0,43,0,9,0.0,1.0,7765,32,0,5
56,0,5,0,65,0.1692307689999999,0.8307692309999999,3638,758502,0,1
57,0,8,0,663,0.950226244,0.0497737559999999,7130,12,0,7
58,1,0,0,235,0.982978723,0.0170212769999999,3902,544866,0,3
59,1,11,0,5,0.4,0.6,5160,115,1,8
60,1,23,3,10,0.9,0.1,531,0,1,0
61,0,17,0,51,1.0,0.0,3993,5707171,1,0
62,0,0,0,300,0.993333333,0.0066666669999999,954,334510,0,2
63,1,10,0,49,0.8979591840000001,0.1020408159999999,4918,19671,0,5
64,0,7,1,0,0.0,0.0,8299,41286,1,3
65,0,8,0,116,0.879310345,0.120689655,6609,931,1,5
66,1,200,2,9,1.0,0.0,31,0,1,0
67,0,6,0,422,0.680094787,0.319905213,6070,14592,0,5
68,0,19,1,25,0.44,0.56,8347,1,1,10
69,1,5,0,98,0.112244898,0.8877551020000001,1850,0,1,0
70,0,0,0,1,0.0,1.0,7087,18105,1,3
71,1,0,0,124,0.943548387,0.056451613,5832,2383950,0,3
72,0,0,0,14,0.071428571,0.928571429,7295,0,1,5
73,0,9,2,87,0.344827586,0.655172414,5656,0,1,0
74,0,7,0,87,0.885057471,0.114942529,5143,45546,0,5
75,0,6,0,159,0.924528302,0.075471698,8217,213,0,8
76,0,0,0,30,0.8666666670000001,0.133333333,5158,0,0,8
77,1,0,0,78,0.5256410260000001,0.474358974,2480,5257779,0,4
78,1,4,0,8,0.875,0.125,385,0,1,0
79,1,9,0,51,0.941176471,0.058823529,3751,0,0,4
80,0,7,0,24,0.75,0.25,5456,124062,1,3
81,0,13,0,4,1.0,0.0,1834,0,1,0
82,0,4,0,38,0.210526316,0.7894736840000001,7295,0,1,5
83,0,32,4,1,1.0,0.0,658,9558747,1,0
84,0,301,7,17,0.529411765,0.470588235,505,0,1,0
85,0,0,0,70,0.9,0.1,8704,5332182,0,3
86,0,36,1,26,0.115384615,0.884615385,8018,0,1,4
87,1,0,0,70,0.528571429,0.471428571,1137,1578580,1,3
88,0,13,2,0,0.0,0.0,7857,46701,1,4
89,1,8,0,189,0.904761905,0.095238095,7351,22839,0,5
90,0,3,0,0,0.0,0.0,539,0,0,0
91,1,16,0,204,0.862745098,0.1372549019999999,6255,688,0,6
92,0,0,0,42,0.857142857,0.142857143,8934,18070,0,5
93,0,32,0,88,0.897727273,0.102272727,2192,0,1,0
94,0,0,0,9,0.111111111,0.8888888890000001,7296,0,1,5
95,1,7,0,55,0.963636364,0.036363636,3588,2605178,0,3
96,1,43,2,23,0.7826086959999999,0.2173913039999999,4284,0,1,1
97,1,11,0,187,0.994652406,0.005347594,7586,988,0,5
98,0,0,0,0,0.0,0.0,6,0,1,0
99,0,0,0,44,1.0,0.0,95,0,0,0
100,1,0,0,155,0.683870968,0.316129032,2600,0,0,3
101,1,0,0,25,0.12,0.88,3727,10481070,0,2
102,1,6,0,21,0.904761905,0.095238095,90,0,1,0
103,1,8,0,16,0.5,0.5,4763,6179184,0,3
104,0,26,0,26,0.115384615,0.884615385,8019,0,1,4
105,1,6,0,336,0.645833333,0.354166667,8336,66410,0,5
106,0,7,0,237,0.852320675,0.147679325,1,0,1,0
107,1,0,0,995,0.990954774,0.009045226,6660,1791361,0,2
108,0,0,0,55,0.272727273,0.727272727,7298,0,0,5
109,0,7,2,21,0.19047619,0.80952381,5615,0,1,5
110,1,12,0,100,0.47,0.53,10674,23,1,8
111,0,4,0,1,1.0,0.0,5511,200509,1,1
112,1,7,0,92,0.358695652,0.641304348,4705,28680,0,4
113,1,0,0,27,0.7777777779999999,0.222222222,1099,357413,0,2
114,0,67,0,19,0.6315789470000001,0.3684210529999999,5613,0,1,5
115,1,8,1,4,1.0,0.0,1807,0,1,0
116,1,11,0,104,0.951923077,0.048076923,2021,4511081,1,0
117,0,7,0,74,0.135135135,0.864864865,7298,0,1,5
118,0,4,0,484,0.993801653,0.006198347,9265,8473,1,7
119,1,0,0,104,0.326923077,0.673076923,1499,1216719,0,2
120,1,7,0,35,0.342857143,0.6571428570000001,5526,10856,1,5
121,0,17,0,4,1.0,0.0,4003,5816617,1,0
122,1,0,0,56,0.857142857,0.142857143,6190,499717,0,3
123,1,4,0,58,0.8620689659999999,0.137931034,2299,0,1,2
124,1,9,0,53,0.5660377360000001,0.433962264,5636,2,0,10
125,1,2,0,14,1.0,0.0,112,2851324,0,0
126,0,0,0,13,1.0,0.0,2695,1618926,0,4
127,1,0,0,115,0.8956521740000001,0.1043478259999999,4544,976135,0,5
128,0,5,0,20,0.8,0.2,885,0,1,0
129,0,13,0,0,0.0,0.0,4250,0,1,1
130,1,7,0,67,0.895522388,0.104477612,5290,1547,0,5
131,1,10,0,32,0.8125,0.1875,2685,188662,0,4
132,1,0,0,34,0.852941176,0.147058824,1309,542841,0,2
133,0,7,0,8,0.125,0.875,2139,309382,1,7
134,1,4,0,4,0.25,0.75,4358,222053,0,3
135,1,0,0,259,0.961389961,0.038610039,8311,260730,0,4
136,0,0,0,3,0.333333333,0.666666667,315,0,0,0
137,0,10,0,23,1.0,0.0,604,0,0,0
138,0,0,0,22,0.2272727269999999,0.772727273,5615,0,1,5
139,0,0,0,0,0.0,0.0,5626,0,1,5
140,1,16,0,153,0.3790849670000001,0.620915033,8516,8,0,10
141,1,0,0,14,0.7857142859999999,0.214285714,9041,1936483,0,4
142,0,0,0,13,0.692307692,0.307692308,41,0,0,1
143,0,0,0,224,0.357142857,0.642857143,7299,1229372,0,5
144,1,9,0,132,0.8863636359999999,0.113636364,6238,62,1,8
145,0,9,1,155,0.941935484,0.058064516,3140,0,1,3
146,1,17,0,55,0.4727272729999999,0.527272727,5635,2,0,10
147,0,0,0,102,0.598039216,0.4019607839999999,7449,0,0,8
148,0,11,0,25,0.6,0.4,8047,22244,1,2
149,1,4,1,50,0.76,0.24,3777,6328,0,7
150,0,11,0,0,0.0,0.0,7448,385,0,8
151,0,0,0,32,0.65625,0.34375,3486,0,0,2
152,0,10,0,0,0.0,0.0,4886,0,1,4
153,1,22,0,99,0.939393939,0.0606060609999999,7188,22333,0,4
154,1,0,0,98,0.081632653,0.918367347,7529,0,0,1
155,1,10,0,137,0.927007299,0.072992701,12126,1001,0,7
156,1,0,0,168,0.916666667,0.083333333,7912,3532336,0,2
157,1,8,0,2,1.0,0.0,78,0,0,0
158,1,0,0,103,0.932038835,0.067961165,7189,481145,1,1
159,0,0,0,0,0.0,0.0,5614,0,0,5
160,1,0,0,393,0.959287532,0.0407124679999999,7453,16938,0,5
161,0,0,0,210,0.557142857,0.4428571429999999,7299,1741827,0,5
162,0,7,0,69,0.710144928,0.289855072,11048,546,0,6
163,0,12,3,0,0.0,0.0,1422,0,1,0
164,0,0,0,69,0.811594203,0.1884057969999999,4633,1218702,0,2
165,0,5,0,1133,0.939099735,0.060900265,7132,12,0,7
166,1,9,0,308,0.970779221,0.029220779,7413,2183,0,7
167,1,11,0,165,0.884848485,0.115151515,8217,8686,0,5
168,0,0,0,19,0.894736842,0.105263158,232,0,1,0
169,0,9,0,25,0.52,0.48,7489,63,0,10
170,1,0,0,41,0.585365854,0.414634146,3295,1759878,0,4
171,0,9,0,719,0.984700974,0.015299026,7134,13,0,7
172,1,6,0,0,0.0,0.0,3995,872336,0,4
173,0,11,0,0,0.0,0.0,5984,17696,1,3
174,1,8,0,887,0.990980834,0.009019166,8048,2615,0,6
175,0,7,0,0,0.0,0.0,143,0,1,0
176,0,5,1,33,0.272727273,0.727272727,1547,4639,1,2
177,0,4,0,543,0.948434622,0.0515653779999999,7130,12,0,7
178,1,7,0,207,0.8309178740000001,0.169082126,10316,3494,0,7
179,0,7,2,23,0.2173913039999999,0.7826086959999999,1202,0,1,0
180,1,6,0,8,0.875,0.125,385,0,1,0
181,0,0,0,0,0.0,0.0,561,0,1,2
182,0,13,2,3,1.0,0.0,330,0,1,0
183,0,34,1,19,0.736842105,0.263157895,8019,0,1,4
184,1,18,0,68,0.4558823529999999,0.544117647,2568,51291,1,1
185,0,9,0,136,0.963235294,0.036764706,5411,6098,0,5
186,1,0,0,255,0.984313725,0.015686275,1251,6606150,0,2
187,1,5,0,510,0.941176471,0.058823529,9174,625,0,7
188,0,0,0,60,0.083333333,0.916666667,7289,0,0,1
189,0,9,0,7,0.857142857,0.142857143,924,0,1,2
190,1,17,0,4,1.0,0.0,4004,5828815,1,0
191,1,11,0,64,0.90625,0.09375,7988,24244,0,4
192,0,7,1,12,1.0,0.0,59,0,1,0
193,1,3,0,3,0.666666667,0.333333333,7812,0,1,0
194,0,24,0,0,0.0,0.0,7905,155,1,7
195,0,8,0,635,0.911811024,0.088188976,7132,12,0,7
196,1,8,0,95,0.978947368,0.021052632,6977,120226,0,5
197,0,8,2,590,0.969491525,0.030508475,2809,0,1,0
198,0,7,3,22,0.181818182,0.818181818,5615,0,1,5
199,1,8,2,40,0.125,0.875,3534,0,1,1
200,1,11,0,15,0.333333333,0.666666667,5019,2166138,0,4
201,1,40,0,503,0.0119284289999999,0.988071571,798,0,1,0
202,0,9,0,5,1.0,0.0,4322,0,1,0
203,0,5,0,22,0.2272727269999999,0.772727273,2724,0,1,0
204,1,7,0,584,0.7482876709999999,0.251712329,8964,70,0,8
205,0,13,0,25,0.52,0.48,7491,63,1,10
206,0,7,3,21,0.19047619,0.80952381,5616,0,1,5
207,0,0,0,152,0.4539473679999999,0.546052632,7447,0,0,8
208,1,0,0,1341,0.985831469,0.014168531,7087,2443586,0,4
209,1,8,0,30,0.433333333,0.566666667,6923,466083,0,5
210,1,0,0,138,0.166666667,0.833333333,3477,7290834,0,2
211,0,8,0,11,0.0,1.0,7296,0,1,5
212,0,27,0,89,0.5505617979999999,0.449438202,252,2602858,1,0
213,0,10,0,37,0.486486486,0.513513514,5120,7237162,1,4
214,0,0,0,21,0.19047619,0.80952381,5627,0,1,5
215,0,10,0,159,0.949685535,0.050314465,7134,13,0,7
216,1,9,0,139,0.863309353,0.136690647,5737,8550,0,6
217,1,14,0,184,0.994565217,0.005434783,7587,988,0,5
218,1,5,0,12,1.0,0.0,8661,55133,1,4
219,0,4,1,7,1.0,0.0,3015,443326,1,4
220,1,17,0,51,1.0,0.0,3992,5697976,1,0
